0.0561,636.0096,0.7835,0.1013,29.0758,9.6439,8.5663,0.9616,-0.6548,1.1941,-1.348,0.9864,10.6129,6.8217,5.0544,2.5471,4.2728,2.4009,2.6689,3.0004,1.0
0.2307,1343.5868,0.5251,0.3008,8.9431,12.6927,6.9302,3.1052,-6.0222,4.9628,-1.0812,0.001,10.9187,4.3129,2.2812,2.2146,4.7082,3.6907,2.3795,2.2746,1.0
0.0684,746.942,0.7634,0.1327,28.1467,7.8587,1.9898,-2.3118,-1.8162,1.0672,0.2785,1.5437,11.3067,6.8147,5.8512,3.6439,3.3095,2.3301,2.2937,2.0361,1.0
0.1168,903.4734,0.6827,0.1448,27.0823,0.9509,0.1094,5.8667,1.0468,2.2284,3.2785,0.9864,15.1978,13.2629,6.9022,5.3777,6.203,2.7615,3.459,2.9358,1.0
0.2277,1193.8512,0.6118,0.235,22.1169,4.7501,-2.9009,0.366,1.2842,2.6995,-0.3801,2.2961,21.5131,10.503,9.6412,3.2211,5.9441,3.657,3.7721,3.4523,1.0
0.294,1468.9419,0.5239,0.3506,12.5053,11.3065,0.3909,4.577,-0.6368,3.3435,0.8688,1.4196,26.142,7.7633,8.1402,6.4188,4.596,3.9262,2.868,2.2829,1.0
0.137,835.8382,0.7592,0.1358,35.7056,10.3911,1.5805,-0.7795,-4.3023,0.1601,0.2033,-0.5982,18.0543,7.1426,9.6807,5.4866,5.8647,3.5479,3.177,4.5463,1.0
0.0683,831.2092,0.7522,0.1664,28.53,22.8409,7.3335,0.454,-1.7849,-2.057,1.02,0.1705,8.2806,11.8706,3.0985,5.5805,6.0402,4.9731,2.4659,2.5937,1.0
0.1048,786.5554,0.7368,0.1043,33.0796,2.9422,-4.1039,2.9913,1.3337,0.0786,2.1218,3.0785,9.4479,9.2424,13.5924,2.9996,5.4792,3.3084,4.062,3.1271,1.0
0.0741,669.4142,0.7952,0.1102,31.729,9.3614,4.9191,-1.7714,-0.3712,1.2163,0.3752,3.2033,6.2624,8.2802,5.1399,2.3737,2.4614,2.5876,2.1354,3.1009,1.0
0.0559,587.7577,0.8198,0.1067,29.3646,14.5408,6.8486,0.0023,2.2951,1.0509,-0.2152,2.7707,5.2457,2.6258,2.4545,2.105,2.0278,2.1943,1.8463,1.9431,1.0
0.2193,1375.036,0.5112,0.3108,7.2919,14.1259,8.2874,1.1744,-3.9437,8.3839,-1.0415,-0.9405,7.9851,4.2409,2.4095,2.2134,2.8181,3.3805,2.725,2.2032,1.0
0.3343,1726.2426,0.4387,0.4849,-1.9559,25.3514,3.5112,2.654,1.2855,-1.6982,-0.0929,0.0436,23.3436,10.6231,3.211,3.7935,4.1235,4.3054,2.8266,2.2055,1.0
0.2147,1306.879,0.5603,0.2676,16.1364,7.703,0.0494,1.567,-1.8389,5.4535,0.9029,2.6404,16.6001,9.3131,7.8315,3.8762,4.0432,4.1426,5.413,3.5979,1.0
0.3099,1693.3794,0.4451,0.4649,1.781,24.5839,1.5815,1.4678,2.3186,-3.3761,3.057,0.0037,20.5991,15.3782,4.6196,3.7694,4.0268,5.3034,2.5597,2.8688,1.0
0.0961,798.1425,0.7684,0.1273,33.6229,11.5794,-1.5873,1.8598,0.4421,2.4131,-0.0936,1.0658,10.9658,10.9533,8.8022,4.5632,4.4337,3.2794,3.7559,2.7477,1.0
0.2635,1448.3474,0.5173,0.3788,4.1534,23.0913,7.3837,3.4877,0.4015,0.3088,0.1466,0.7941,21.5079,13.3769,5.9335,3.5855,4.7149,4.0091,2.658,3.223,1.0
0.0932,696.3427,0.7706,0.0845,35.8055,3.6975,3.9999,-0.29,-2.4513,1.8846,2.5957,0.709,12.444,8.6496,10.0931,2.4644,5.8052,4.8986,4.1613,3.4272,1.0
0.0641,609.991,0.8082,0.1085,29.7309,12.5696,7.5187,-0.7234,2.0247,1.175,0.2563,3.5167,4.2344,2.327,2.3839,2.2147,2.0103,2.1238,2.0881,1.7858,1.0
0.0568,608.2888,0.8093,0.1054,29.9074,12.3245,8.6076,-1.3761,1.2308,1.0786,0.7877,2.835,4.2735,3.0298,2.1021,1.6511,2.1508,2.7475,1.8501,2.4941,1.0
0.059,599.0182,0.8096,0.0938,33.0709,8.4629,5.7574,-0.3072,2.4759,-0.7632,1.0877,5.1476,3.5655,2.4891,2.3389,2.0927,2.6725,2.9153,2.26,2.1122,0.0
0.0905,734.0995,0.7397,0.1191,29.059,5.7372,5.2496,3.1718,2.3097,-0.4699,-0.8966,3.6654,6.1264,5.3864,2.957,4.5454,3.134,3.2102,3.6603,3.4642,0.0
0.1147,800.5175,0.7233,0.111,30.7981,-0.888,-0.8657,3.15,-1.8915,-0.4872,-1.8266,1.2876,8.8309,6.4935,11.8411,4.9467,5.0197,6.1021,4.3459,2.9212,0.0
0.1353,935.1974,0.6174,0.1361,28.2781,-7.0454,5.649,0.6772,-3.7444,-1.0399,-2.0899,4.1225,14.9227,13.8154,6.7913,4.0113,4.9681,3.9972,6.1558,3.1373,0.0
0.3267,1462.776,0.5022,0.3162,14.4202,-1.2941,-1.8288,-0.2778,0.4561,0.2055,-2.1941,4.5826,27.7793,13.6465,8.9611,6.0676,7.3774,3.8176,3.1569,3.4359,0.0
0.1138,910.6628,0.7038,0.1509,31.2594,3.5026,-0.4895,1.3063,-1.8907,-3.218,-2.3436,2.3689,15.2902,7.9421,8.152,5.7826,6.1177,5.46,2.6885,2.8775,0.0
0.0857,746.866,0.7548,0.1144,33.7082,8.5108,6.7993,-0.9802,-1.1547,-2.6504,-5.3096,1.557,10.4562,8.586,9.2754,5.6225,4.9252,5.6555,3.6895,3.7169,0.0
0.1339,822.8783,0.7092,0.1122,33.3127,-3.5586,-0.0485,-0.5301,2.591,0.3321,-1.1796,2.8059,13.4487,6.8298,9.325,2.763,8.167,4.3784,3.3191,3.1951,0.0
0.0529,611.8047,0.7987,0.1091,28.4881,10.4348,8.6528,0.4304,3.1231,1.559,-0.4602,2.5013,4.2194,2.4071,2.8105,1.7939,1.9678,1.885,1.7109,1.6306,0.0
0.0494,627.1355,0.7918,0.1113,28.0267,8.9592,9.0572,0.3288,4.3719,3.7385,-0.3766,3.0688,2.4208,1.8145,1.6586,1.97,2.5985,2.372,1.8337,1.7567,0.0
0.0606,691.45,0.7703,0.1327,26.7897,11.2375,8.3721,-0.4154,3.0331,1.1145,0.6484,5.3653,4.6949,2.915,1.8547,2.3001,2.0211,2.1096,1.985,2.0401,0.0
0.0751,707.1539,0.7438,0.109,29.011,2.7882,7.3836,0.5758,1.1284,2.1607,0.7391,4.6049,3.8915,11.413,2.0049,5.3571,4.6266,1.9825,1.8546,2.5504,0.0
0.1297,947.2728,0.6313,0.1477,23.6134,0.8407,12.5834,-3.786,-3.9478,3.5291,-1.6254,-0.2721,10.8839,18.5119,6.8888,5.8169,4.785,5.9829,3.7515,3.9884,0.0
